State,Date,Sex,Ethnicity,Population,Event_Type,Area
Johor,01/01/2022,Both,Bumi_Other,1097,Birth,19210
Kedah,01/01/2022,Both,Bumi_Other,80,Birth,9500
Kelantan,01/01/2022,Both,Bumi_Other,412,Birth,15099
Melaka,01/01/2022,Both,Bumi_Other,149,Birth,1664
Negeri Sembilan,01/01/2022,Both,Bumi_Other,383,Birth,6686
Pahang,01/01/2022,Both,Bumi_Other,1874,Birth,36137
Perak,01/01/2022,Both,Bumi_Other,1105,Birth,21035
Perlis,01/01/2022,Both,Bumi_Other,12,Birth,821
Pulau Pinang,01/01/2022,Both,Bumi_Other,98,Birth,1048
Sabah,01/01/2022,Both,Bumi_Other,28429,Birth,72631
Sarawak,01/01/2022,Both,Bumi_Other,16612,Birth,124450
Selangor,01/01/2022,Both,Bumi_Other,1607,Birth,8104
Terengganu,01/01/2022,Both,Bumi_Other,45,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Bumi_Other,366,Birth,243
W.P. Labuan,01/01/2022,Both,Bumi_Other,623,Birth,91
W.P. Putrajaya,01/01/2022,Both,Bumi_Other,36,Birth,49
Johor,01/01/2022,Male,Bumi_Other,570,Birth,19210
Johor,01/01/2022,Female,Bumi_Other,527,Birth,19210
Kedah,01/01/2022,Male,Bumi_Other,41,Birth,9500
Kedah,01/01/2022,Female,Bumi_Other,39,Birth,9500
Kelantan,01/01/2022,Male,Bumi_Other,218,Birth,15099
Kelantan,01/01/2022,Female,Bumi_Other,194,Birth,15099
Melaka,01/01/2022,Male,Bumi_Other,86,Birth,1664
Melaka,01/01/2022,Female,Bumi_Other,63,Birth,1664
Negeri Sembilan,01/01/2022,Male,Bumi_Other,219,Birth,6686
Negeri Sembilan,01/01/2022,Female,Bumi_Other,164,Birth,6686
Pahang,01/01/2022,Male,Bumi_Other,1023,Birth,36137
Pahang,01/01/2022,Female,Bumi_Other,851,Birth,36137
Perak,01/01/2022,Male,Bumi_Other,534,Birth,21035
Perak,01/01/2022,Female,Bumi_Other,571,Birth,21035
Perlis,01/01/2022,Male,Bumi_Other,6,Birth,821
Perlis,01/01/2022,Female,Bumi_Other,6,Birth,821
Pulau Pinang,01/01/2022,Male,Bumi_Other,54,Birth,1048
Pulau Pinang,01/01/2022,Female,Bumi_Other,44,Birth,1048
Sabah,01/01/2022,Male,Bumi_Other,14736,Birth,72631
Sabah,01/01/2022,Female,Bumi_Other,13693,Birth,72631
Sarawak,01/01/2022,Male,Bumi_Other,8595,Birth,124450
Sarawak,01/01/2022,Female,Bumi_Other,8017,Birth,124450
Selangor,01/01/2022,Male,Bumi_Other,835,Birth,8104
Selangor,01/01/2022,Female,Bumi_Other,772,Birth,8104
Terengganu,01/01/2022,Male,Bumi_Other,22,Birth,13035
Terengganu,01/01/2022,Female,Bumi_Other,23,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Male,Bumi_Other,185,Birth,243
W.P. Kuala Lumpur,01/01/2022,Female,Bumi_Other,181,Birth,243
W.P. Labuan,01/01/2022,Male,Bumi_Other,318,Birth,91
W.P. Labuan,01/01/2022,Female,Bumi_Other,305,Birth,91
W.P. Putrajaya,01/01/2022,Male,Bumi_Other,21,Birth,49
W.P. Putrajaya,01/01/2022,Female,Bumi_Other,15,Birth,49
Johor,01/01/2022,Both,Chinese,7440,Birth,19210
Kedah,01/01/2022,Both,Chinese,1205,Birth,9500
Kelantan,01/01/2022,Both,Chinese,346,Birth,15099
Melaka,01/01/2022,Both,Chinese,1295,Birth,1664
Negeri Sembilan,01/01/2022,Both,Chinese,1366,Birth,6686
Pahang,01/01/2022,Both,Chinese,1209,Birth,36137
Perak,01/01/2022,Both,Chinese,3067,Birth,21035
Perlis,01/01/2022,Both,Chinese,100,Birth,821
Pulau Pinang,01/01/2022,Both,Chinese,3931,Birth,1048
Sabah,01/01/2022,Both,Chinese,1098,Birth,72631
Sarawak,01/01/2022,Both,Chinese,4655,Birth,124450
Selangor,01/01/2022,Both,Chinese,10418,Birth,8104
Terengganu,01/01/2022,Both,Chinese,128,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Chinese,3936,Birth,243
W.P. Labuan,01/01/2022,Both,Chinese,46,Birth,91
W.P. Putrajaya,01/01/2022,Both,Chinese,9,Birth,49
Johor,01/01/2022,Male,Chinese,3774,Birth,19210
Johor,01/01/2022,Female,Chinese,3666,Birth,19210
Kedah,01/01/2022,Male,Chinese,615,Birth,9500
Kedah,01/01/2022,Female,Chinese,590,Birth,9500
Kelantan,01/01/2022,Male,Chinese,170,Birth,15099
Kelantan,01/01/2022,Female,Chinese,176,Birth,15099
Melaka,01/01/2022,Male,Chinese,673,Birth,1664
Melaka,01/01/2022,Female,Chinese,622,Birth,1664
Negeri Sembilan,01/01/2022,Male,Chinese,722,Birth,6686
Negeri Sembilan,01/01/2022,Female,Chinese,644,Birth,6686
Pahang,01/01/2022,Male,Chinese,668,Birth,36137
Pahang,01/01/2022,Female,Chinese,541,Birth,36137
Perak,01/01/2022,Male,Chinese,1582,Birth,21035
Perak,01/01/2022,Female,Chinese,1485,Birth,21035
Perlis,01/01/2022,Male,Chinese,51,Birth,821
Perlis,01/01/2022,Female,Chinese,49,Birth,821
Pulau Pinang,01/01/2022,Male,Chinese,1973,Birth,1048
Pulau Pinang,01/01/2022,Female,Chinese,1958,Birth,1048
Sabah,01/01/2022,Male,Chinese,576,Birth,72631
Sabah,01/01/2022,Female,Chinese,522,Birth,72631
Sarawak,01/01/2022,Male,Chinese,2345,Birth,124450
Sarawak,01/01/2022,Female,Chinese,2310,Birth,124450
Selangor,01/01/2022,Male,Chinese,5393,Birth,8104
Selangor,01/01/2022,Female,Chinese,5025,Birth,8104
Terengganu,01/01/2022,Male,Chinese,68,Birth,13035
Terengganu,01/01/2022,Female,Chinese,60,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Male,Chinese,2071,Birth,243
W.P. Kuala Lumpur,01/01/2022,Female,Chinese,1865,Birth,243
