state,date,sex,ethnicity,abs
Melaka,2016-01-01,female,overall,6891
Melaka,2017-01-01,female,overall,6935
Melaka,2018-01-01,female,overall,7009
Melaka,2019-01-01,female,overall,6728
Melaka,2020-01-01,female,overall,6716
Melaka,2021-01-01,female,overall,6380
Melaka,2022-01-01,female,overall,6360
Negeri Sembilan,2000-01-01,male,overall,9940
Negeri Sembilan,2001-01-01,male,overall,9073
Negeri Sembilan,2002-01-01,male,overall,9149
Negeri Sembilan,2003-01-01,male,overall,8810
Negeri Sembilan,2004-01-01,male,overall,8878
Negeri Sembilan,2005-01-01,male,overall,8708
Negeri Sembilan,2006-01-01,male,overall,8577
Negeri Sembilan,2007-01-01,male,overall,8890
Negeri Sembilan,2008-01-01,male,overall,8869
Negeri Sembilan,2009-01-01,male,overall,8960
Negeri Sembilan,2010-01-01,male,overall,8654
Negeri Sembilan,2011-01-01,male,overall,9202
Negeri Sembilan,2012-01-01,male,overall,9219
Negeri Sembilan,2013-01-01,male,overall,9126
Negeri Sembilan,2014-01-01,male,overall,9665
Negeri Sembilan,2015-01-01,male,overall,9605
Negeri Sembilan,2016-01-01,male,overall,9345
Negeri Sembilan,2017-01-01,male,overall,9390
Negeri Sembilan,2018-01-01,male,overall,9328
Negeri Sembilan,2019-01-01,male,overall,9061
Negeri Sembilan,2020-01-01,male,overall,8880
Negeri Sembilan,2021-01-01,male,overall,8723
Negeri Sembilan,2022-01-01,male,overall,8406
Negeri Sembilan,2000-01-01,female,overall,9303
Negeri Sembilan,2001-01-01,female,overall,8597
Negeri Sembilan,2002-01-01,female,overall,8498
Negeri Sembilan,2003-01-01,female,overall,8462
Negeri Sembilan,2004-01-01,female,overall,8207
Negeri Sembilan,2005-01-01,female,overall,8130
Negeri Sembilan,2006-01-01,female,overall,8045
Negeri Sembilan,2007-01-01,female,overall,8305
Negeri Sembilan,2008-01-01,female,overall,8482
Negeri Sembilan,2009-01-01,female,overall,8400
Negeri Sembilan,2010-01-01,female,overall,8285
Negeri Sembilan,2011-01-01,female,overall,8468
Negeri Sembilan,2012-01-01,female,overall,8684
Negeri Sembilan,2013-01-01,female,overall,8383
Negeri Sembilan,2014-01-01,female,overall,9011
Negeri Sembilan,2015-01-01,female,overall,8818
Negeri Sembilan,2016-01-01,female,overall,8691
Negeri Sembilan,2017-01-01,female,overall,8688
Negeri Sembilan,2018-01-01,female,overall,8849
Negeri Sembilan,2019-01-01,female,overall,8403
Negeri Sembilan,2020-01-01,female,overall,8240
Negeri Sembilan,2021-01-01,female,overall,8054
Negeri Sembilan,2022-01-01,female,overall,7585
